GeneID	GeneName
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
18128	Notch1
18128	Notch1
395655	NOTCH1
4853	NOTCH2
4854	NOTCH3
4855	NOTCH4
4856	NOV
27035	NOX1
27035	NOX1
4878	NPPA
101241892	NPTN-IT1
10062	NR1H3
8856	NR1I2
7182	NR2C2
7026	NR2F2
3164	NR4A1
2494	NR5A2
338475	Nrep
8829	NRP1
8829	NRP1
8828	NRP2
9423	NTN1
59277	NTN4
4915	NTRK2
4915	NTRK2
4915	NTRK2
4915	NTRK2
4916	NTRK3
9891	NUAK1
9891	NUAK1
9891	NUAK1
9891	NUAK1
77976	Nuak1
80224	NUBPL
4925	NUCB2
29419	Numb
29789	OLA1
9480	ONECUT2
4988	OPRM1
5008	OSM
5008	OSM
58495	OVOL2
107586	Ovol2
5029	P2RY2
23569	PADI4
203569	PAGE2
5058	PAK1
5058	PAK1
10298	PAK4
57144	PAK5
152559	PAQR3
56288	PARD3
50855	PARD6A
142	PARP1
11545	Parp1
55742	PARVA
5074	PAWR
114774	Pawr
5076	PAX2
5087	PBX1
5090	PBX3
57326	PBXIP1
5093	PCBP1
5093	PCBP1
5101	PCDH9
7703	PCGF2
5122	PCSK1
5133	PDCD1
27250	PDCD4
27250	PDCD4
10015	PDCD6IP
397765	pdgfa.S
5155	PDGFB
18591	Pdgfb
80310	PDGFD
80310	PDGFD
5159	PDGFRB
10630	PDPN
5174	PDZK1
